Name,Type,Website,Instagram,Event Types,Frequency,Language,International Relevance,
MSV Nijmegen (Muslim),Religious/Spiritual,N/A,@msvnijmegen,"Iftars, lectures, socials",Monthly,Dutch/English,High,
Navigators (NSN),Religious/Spiritual,[https://www.nsnijmegen.nl/,@nsnijmegen](https://www.nsnijmegen.nl/,@nsnijmegen),"Bible study, social drinks",Weekly,Dutch,Medium
Doornroosje,Commercial Venue,[https://www.doornroosje.nl/,@doornroosjenl](https://www.doornroosje.nl/,@doornroosjenl),"Concerts, club nights, festivals",Daily,English/Dutch,High
LUX Nijmegen,Commercial Venue,[https://www.lux-nijmegen.nl/,@luxnijmegen](https://www.lux-nijmegen.nl/,@luxnijmegen),"Cinema, theater, debates",Daily,English friendly,High
Tierney's Irish Pub,Bar/Pub/Café,[https://www.tierneysirishpub.nl/,@tierneyspubnijmegen](https://www.tierneysirishpub.nl/,@tierneyspubnijmegen),"International Pub Quiz, sports",Weekly,English,High
Thiemeloods,Cultural Association,[https://thiemeloods.nl/,@thiemeloods](https://thiemeloods.nl/,@thiemeloods),"The Wednesday Quiz, comedy",Weekly,English,High
Café van Ouds,Bar/Pub/Café,[https://cafevanouds.nl/,@cafevanouds](https://cafevanouds.nl/,@cafevanouds),"Open mic comedy, social drinks",Weekly,English,High
Lindenberg,Cultural Association,[https://www.delindenberg.com/,@delindenberg](https://www.delindenberg.com/,@delindenberg),"Courses (arts, dance), theater",Daily,Dutch/English,Medium
Merleyn,Commercial Venue,[https://www.doornroosje.nl/merleyn,@merleyn_nijmegen](https://www.doornroosje.nl/merleyn,@merleyn_nijmegen),"Indie concerts, small club nights",Weekly,English friendly,High
De Plak,Bar/Pub/Café,[https://cafedeplak.nl/,@cafedeplak](https://cafedeplak.nl/,@cafedeplak),"Alternative dining, club nights",Weekly,Dutch/English,Medium
Bloemerbar,Bar/Pub/Café,[https://bloemerbar.nl/,@bloemerbar](https://bloemerbar.nl/,@bloemerbar),"Social drinks, expat meetups",Weekly,English friendly,High
Camelot,Bar/Pub/Café,[https://www.cafecamelot.nl/,@cafecamelot_nijmegen](https://www.cafecamelot.nl/,@cafecamelot_nijmegen),"Board games, social drinks",Daily,Dutch/English,Medium
Expats & Locals,Community Organization,[https://www.expatslocals.com/,Meetup/WhatsApp](https://www.expatslocals.com/,Meetup/WhatsApp),"Social drinks, walks, mixers",Bi-weekly,English,High
PON (PhD Org),University Official,[https://www.pon-nijmegen.nl/,WhatsApp/IG](https://www.pon-nijmegen.nl/,WhatsApp/IG),"Networking, hiking, book club",Monthly,English,High
Nijmegen Stand Up,Community Organization,N/A,Meetup,Comedy shows (English),Monthly,English,High,
Goin' Radboud,Online Platform,N/A,Mobile App,Peer networking for admits,Daily,English,High,
Expats In Nijmegen,Community Organization,N/A,Meetup,"Running, hiking, socials",Weekly,English,High,
Nimma.codes,Community Organization,N/A,Meetup,"Tech talks, coding socials",Bi-monthly,English,High,
Arnhem/Nijmegen Hiking,Community Organization,N/A,Meetup,"Nature walks, day trips",Monthly,English,High,
SSHn,Community Organization,https://www.sshn.nl/,(@sshn_hierwonenstudenten),,,,,
BBB Career Event ,,https://bbb-careerevent.com/,,,,,,
Olympus radboud,,https://olympus.science.ru.nl/home-dutch/,,,,,,
